type,content & title
kind/question,Cannot create workspace Che6 Description When trying create workspace following error that complains about Missing header Location Reproduction Steps CHE_KEYCLOAK_DISABLE true CHE_LOG_LEVEL debug ENABLE_SSL false CHE_PREDEFINED_STACKS_RELOAD false CHE_IMAGE_TAG che6 OPENSHIFT_TOKEN whoami OC_PUBLIC_HOSTNAME devcomb OC_PUBLIC_IP devcomb DNS_PROVIDER deploy replace_stacks Within create workspace from stack version Diagnostics 2017 8080 exec DEBUG valves RemoteIpValve Incoming request workspace workspacekebrko04qfg9y0ll runtime with originalRemoteAddr originalRemoteHost originalSecure false originalScheme http will seen newRemoteAddr newRemoteHost newScheme http newSecure false 2017 8080 exec DEBUG ServletContainerRequest Assuming forwarded http eclipse devcomb 2017 8080 exec ERROR WorkspaceRuntimes Unexpected response Forbidden authorization request Missing header Location eclipse workspace server InfrastructureException Unexpected response Forbidden authorization request Missing header Location eclipse workspace infrastructure openshift project OpenShiftProject OpenShiftProject java eclipse workspace infrastructure openshift project OpenShiftProject init OpenShiftProject java eclipse workspace infrastructure openshift project OpenShiftProjectFactory create OpenShiftProjectFactory java eclipse workspace infrastructure openshift OpenShiftRuntimeContext getRuntime OpenShiftRuntimeContext java eclipse workspace infrastructure openshift OpenShiftRuntimeContext getRuntime OpenShiftRuntimeContext java eclipse workspace server WorkspaceRuntimes startAsync WorkspaceRuntimes java eclipse workspace server WorkspaceManager startAsync WorkspaceManager java eclipse workspace server WorkspaceManager startWorkspace WorkspaceManager java eclipse workspace server WorkspaceService startById WorkspaceService java reflect NativeMethodAccessorImpl invoke0 Native Method reflect NativeMethodAccessorImpl invoke NativeMethodAccessorImpl java reflect DelegatingMethodAccessorImpl invoke DelegatingMethodAccessorImpl java java lang reflect Method invoke Method java everrest core impl method DefaultMethodInvoker invokeMethod DefaultMethodInvoker java everrest core impl method DefaultMethodInvoker invokeMethod DefaultMethodInvoker java everrest core impl RequestDispatcher doInvokeResource RequestDispatcher java everrest core impl RequestDispatcher invokeSubResourceMethod RequestDispatcher java everrest core impl RequestDispatcher dispatch RequestDispatcher java everrest core impl RequestDispatcher dispatch RequestDispatcher java everrest core impl RequestHandlerImpl handleRequest RequestHandlerImpl java everrest core impl EverrestProcessor process EverrestProcessor java everrest core servlet EverrestServlet service EverrestServlet java javax servlet http HttpServlet service HttpServlet java google inject servlet ServletDefinition doServiceImpl ServletDefinition java google inject servlet ServletDefinition doService ServletDefinition java google inject servlet ServletDefinition service ServletDefinition java google inject servlet ManagedServletPipeline service ManagedServletPipeline java google inject servlet FilterChainInvocation doFilter FilterChainInvocation java eclipse local filters EnvironmentInitializationFilter doFilter EnvironmentInitializationFilter java google inject servlet FilterChainInvocation doFilter FilterChainInvocation java apache catalina filters CorsFilter handleNonCORS CorsFilter java apache catalina filters CorsFilter doFilter CorsFilter java google inject servlet FilterChainInvocation doFilter FilterChainInvocation java google inject servlet ManagedFilterPipeline dispatch ManagedFilterPipeline java google inject servlet GuiceFilter doFilter GuiceFilter java apache catalina core ApplicationFilterChain internalDoFilter ApplicationFilterChain java apache catalina core ApplicationFilterChain doFilter ApplicationFilterChain java apache catalina core StandardWrapperValve invoke StandardWrapperValve java apache catalina core StandardContextValve invoke StandardContextValve java apache catalina core StandardHostValve invoke StandardHostValve java apache catalina valves ErrorReportValve invoke ErrorReportValve java logback access tomcat LogbackValve invoke LogbackValve java apache catalina valves RemoteIpValve invoke RemoteIpValve java apache catalina core StandardEngineValve invoke StandardEngineValve java apache catalina connector CoyoteAdapter service CoyoteAdapter java apache coyote http11 Http11Processor service Http11Processor java apache coyote AbstractProcessorLight process AbstractProcessorLight java apache coyote AbstractProtocol ConnectionHandler process AbstractProtocol java apache tomcat util NioEndpoint SocketProcessor doRun NioEndpoint java 1459 apache tomcat util SocketProcessorBase SocketProcessorBase java java util concurrent ThreadPoolExecutor runWorker ThreadPoolExecutor java 1142 java util concurrent ThreadPoolExecutor Worker ThreadPoolExecutor java apache tomcat util threads TaskThread WrappingRunnable TaskThread java java lang Thread Thread java Caused fabric8 kubernetes client KubernetesClientException Unexpected response Forbidden authorization request Missing header Location fabric8 openshift client internal OpenShiftOAuthInterceptor authorize OpenShiftOAuthInterceptor java fabric8 openshift client internal OpenShiftOAuthInterceptor intercept OpenShiftOAuthInterceptor java okhttp3 internal http RealInterceptorChain proceed RealInterceptorChain java okhttp3 internal http RealInterceptorChain proceed RealInterceptorChain java okhttp3 RealCall getResponseWithInterceptorChain RealCall java okhttp3 RealCall execute RealCall java fabric8 kubernetes client base OperationSupport handleResponse OperationSupport java fabric8 kubernetes client base OperationSupport handleResponse OperationSupport java fabric8 kubernetes client base OperationSupport handleResponse OperationSupport java fabric8 kubernetes client base BaseOperation getRootPaths BaseOperation java fabric8 kubernetes client BaseClient rootPaths BaseClient java fabric8 openshift client OpenshiftAdapterSupport isOpenShift OpenshiftAdapterSupport java fabric8 openshift client OpenshiftAdapterSupport isOpenShiftAPIGroups OpenshiftAdapterSupport java fabric8 openshift client OpenShiftConfig isOpenShiftAPIGroups OpenShiftConfig java fabric8 openshift client internal OpenShiftOperation withApiGroup OpenShiftOperation java fabric8 openshift client internal OpenShiftOperation withApiGroup OpenShiftOperation java fabric8 openshift client internal ProjectOperationsImpl init ProjectOperationsImpl java fabric8 openshift client internal ProjectOperationsImpl init ProjectOperationsImpl java fabric8 openshift client DefaultOpenShiftClient projects DefaultOpenShiftClient java eclipse workspace infrastructure openshift project OpenShiftProject OpenShiftProject java common frames omitted 2017 8080 exec DEBUG DefaultMethodInvoker null java lang reflect InvocationTargetException null reflect NativeMethodAccessorImpl invoke0 Native Method reflect NativeMethodAccessorImpl invoke NativeMethodAccessorImpl java reflect DelegatingMethodAccessorImpl invoke DelegatingMethodAccessorImpl java java lang reflect Method invoke Method java everrest core impl method DefaultMethodInvoker invokeMethod DefaultMethodInvoker java everrest core impl method DefaultMethodInvoker invokeMethod DefaultMethodInvoker java everrest core impl RequestDispatcher doInvokeResource RequestDispatcher java everrest core impl RequestDispatcher invokeSubResourceMethod RequestDispatcher java everrest core impl RequestDispatcher dispatch RequestDispatcher java everrest core impl RequestDispatcher dispatch RequestDispatcher java everrest core impl RequestHandlerImpl handleRequest RequestHandlerImpl java everrest core impl EverrestProcessor process EverrestProcessor java everrest core servlet EverrestServlet service EverrestServlet java javax servlet http HttpServlet service HttpServlet java google inject servlet ServletDefinition doServiceImpl ServletDefinition java google inject servlet ServletDefinition doService ServletDefinition java google inject servlet ServletDefinition service ServletDefinition java google inject servlet ManagedServletPipeline service ManagedServletPipeline java google inject servlet FilterChainInvocation doFilter FilterChainInvocation java eclipse local filters EnvironmentInitializationFilter doFilter EnvironmentInitializationFilter java google inject servlet FilterChainInvocation doFilter FilterChainInvocation java apache catalina filters CorsFilter handleNonCORS CorsFilter java apache catalina filters CorsFilter doFilter CorsFilter java google inject servlet FilterChainInvocation doFilter FilterChainInvocation java google inject servlet ManagedFilterPipeline dispatch ManagedFilterPipeline java google inject servlet GuiceFilter doFilter GuiceFilter java apache catalina core ApplicationFilterChain internalDoFilter ApplicationFilterChain java apache catalina core ApplicationFilterChain doFilter ApplicationFilterChain java apache catalina core StandardWrapperValve invoke StandardWrapperValve java apache catalina core StandardContextValve invoke StandardContextValve java apache catalina core StandardHostValve invoke StandardHostValve java apache catalina valves ErrorReportValve invoke ErrorReportValve java logback access tomcat LogbackValve invoke LogbackValve java apache catalina valves RemoteIpValve invoke RemoteIpValve java apache catalina core StandardEngineValve invoke StandardEngineValve java apache catalina connector CoyoteAdapter service CoyoteAdapter java apache coyote http11 Http11Processor service Http11Processor java apache coyote AbstractProcessorLight process AbstractProcessorLight java apache coyote AbstractProtocol ConnectionHandler process AbstractProtocol java apache tomcat util NioEndpoint SocketProcessor doRun NioEndpoint java 1459 apache tomcat util SocketProcessorBase SocketProcessorBase java java util concurrent ThreadPoolExecutor runWorker ThreadPoolExecutor java 1142 java util concurrent ThreadPoolExecutor Worker ThreadPoolExecutor java apache tomcat util threads TaskThread WrappingRunnable TaskThread java java lang Thread Thread java Caused eclipse core ServerException Unexpected response Forbidden authorization request Missing header Location eclipse workspace server WorkspaceRuntimes startAsync WorkspaceRuntimes java eclipse workspace server WorkspaceManager startAsync WorkspaceManager java eclipse workspace server WorkspaceManager startWorkspace WorkspaceManager java eclipse workspace server WorkspaceService startById WorkspaceService java common frames omitted Caused eclipse workspace server InfrastructureException Unexpected response Forbidden authorization request Missing header Location eclipse workspace infrastructure openshift project OpenShiftProject OpenShiftProject java eclipse workspace infrastructure openshift project OpenShiftProject init OpenShiftProject java eclipse workspace infrastructure openshift project OpenShiftProjectFactory create OpenShiftProjectFactory java eclipse workspace infrastructure openshift OpenShiftRuntimeContext getRuntime OpenShiftRuntimeContext java eclipse workspace infrastructure openshift OpenShiftRuntimeContext getRuntime OpenShiftRuntimeContext java eclipse workspace server WorkspaceRuntimes startAsync WorkspaceRuntimes java common frames omitted Caused fabric8 kubernetes client KubernetesClientException Unexpected response Forbidden authorization request Missing header Location fabric8 openshift client internal OpenShiftOAuthInterceptor authorize OpenShiftOAuthInterceptor java fabric8 openshift client internal OpenShiftOAuthInterceptor intercept OpenShiftOAuthInterceptor java okhttp3 internal http RealInterceptorChain proceed RealInterceptorChain java okhttp3 internal http RealInterceptorChain proceed RealInterceptorChain java okhttp3 RealCall getResponseWithInterceptorChain RealCall java okhttp3 RealCall execute RealCall java fabric8 kubernetes client base OperationSupport handleResponse OperationSupport java fabric8 kubernetes client base OperationSupport handleResponse OperationSupport java fabric8 kubernetes client base OperationSupport handleResponse OperationSupport java fabric8 kubernetes client base BaseOperation getRootPaths BaseOperation java fabric8 kubernetes client BaseClient rootPaths BaseClient java fabric8 openshift client OpenshiftAdapterSupport isOpenShift OpenshiftAdapterSupport java fabric8 openshift client OpenshiftAdapterSupport isOpenShiftAPIGroups OpenshiftAdapterSupport java fabric8 openshift client OpenShiftConfig isOpenShiftAPIGroups OpenShiftConfig java fabric8 openshift client internal OpenShiftOperation withApiGroup OpenShiftOperation java fabric8 openshift client internal OpenShiftOperation withApiGroup OpenShiftOperation java fabric8 openshift client internal ProjectOperationsImpl init ProjectOperationsImpl java fabric8 openshift client internal ProjectOperationsImpl init ProjectOperationsImpl java fabric8 openshift client DefaultOpenShiftClient projects DefaultOpenShiftClient java eclipse workspace infrastructure openshift project OpenShiftProject OpenShiftProject java common frames omitted 2017 8080 exec DEBUG impl RequestHandlerImpl InternalException occurs everrest core impl InternalException eclipse core ServerException Unexpected response Forbidden authorization request Missing header Location everrest core impl method DefaultMethodInvoker invokeMethod DefaultMethodInvoker java everrest core impl method DefaultMethodInvoker invokeMethod DefaultMethodInvoker java everrest core impl RequestDispatcher doInvokeResource RequestDispatcher java everrest core impl RequestDispatcher invokeSubResourceMethod RequestDispatcher java everrest core impl RequestDispatcher dispatch RequestDispatcher java everrest core impl RequestDispatcher dispatch RequestDispatcher java everrest core impl RequestHandlerImpl handleRequest RequestHandlerImpl java everrest core impl EverrestProcessor process EverrestProcessor java everrest core servlet EverrestServlet service EverrestServlet java javax servlet http HttpServlet service HttpServlet java google inject servlet ServletDefinition doServiceImpl ServletDefinition java google inject servlet ServletDefinition doService ServletDefinition java google inject servlet ServletDefinition service ServletDefinition java google inject servlet ManagedServletPipeline service ManagedServletPipeline java google inject servlet FilterChainInvocation doFilter FilterChainInvocation java eclipse local filters EnvironmentInitializationFilter doFilter EnvironmentInitializationFilter java google inject servlet FilterChainInvocation doFilter FilterChainInvocation java apache catalina filters CorsFilter handleNonCORS CorsFilter java apache catalina filters CorsFilter doFilter CorsFilter java google inject servlet FilterChainInvocation doFilter FilterChainInvocation java google inject servlet ManagedFilterPipeline dispatch ManagedFilterPipeline java google inject servlet GuiceFilter doFilter GuiceFilter java apache catalina core ApplicationFilterChain internalDoFilter ApplicationFilterChain java apache catalina core ApplicationFilterChain doFilter ApplicationFilterChain java apache catalina core StandardWrapperValve invoke StandardWrapperValve java apache catalina core StandardContextValve invoke StandardContextValve java apache catalina core StandardHostValve invoke StandardHostValve java apache catalina valves ErrorReportValve invoke ErrorReportValve java logback access tomcat LogbackValve invoke LogbackValve java apache catalina valves RemoteIpValve invoke RemoteIpValve java apache catalina core StandardEngineValve invoke StandardEngineValve java apache catalina connector CoyoteAdapter service CoyoteAdapter java apache coyote http11 Http11Processor service Http11Processor java apache coyote AbstractProcessorLight process AbstractProcessorLight java apache coyote AbstractProtocol ConnectionHandler process AbstractProtocol java apache tomcat util NioEndpoint SocketProcessor doRun NioEndpoint java 1459 apache tomcat util SocketProcessorBase SocketProcessorBase java java util concurrent ThreadPoolExecutor runWorker ThreadPoolExecutor java 1142 java util concurrent ThreadPoolExecutor Worker ThreadPoolExecutor java apache tomcat util threads TaskThread WrappingRunnable TaskThread java java lang Thread Thread java Caused eclipse core ServerException Unexpected response Forbidden authorization request Missing header Location eclipse workspace server WorkspaceRuntimes startAsync WorkspaceRuntimes java eclipse workspace server WorkspaceManager startAsync WorkspaceManager java eclipse workspace server WorkspaceManager startWorkspace WorkspaceManager java eclipse workspace server WorkspaceService startById WorkspaceService java reflect NativeMethodAccessorImpl invoke0 Native Method reflect NativeMethodAccessorImpl invoke NativeMethodAccessorImpl java reflect DelegatingMethodAccessorImpl invoke DelegatingMethodAccessorImpl java java lang reflect Method invoke Method java everrest core impl method DefaultMethodInvoker invokeMethod DefaultMethodInvoker java common frames omitted Caused eclipse workspace server InfrastructureException Unexpected response Forbidden authorization request Missing header Location eclipse workspace infrastructure openshift project OpenShiftProject OpenShiftProject java eclipse workspace infrastructure openshift project OpenShiftProject init OpenShiftProject java eclipse workspace infrastructure openshift project OpenShiftProjectFactory create OpenShiftProjectFactory java eclipse workspace infrastructure openshift OpenShiftRuntimeContext getRuntime OpenShiftRuntimeContext java eclipse workspace infrastructure openshift OpenShiftRuntimeContext getRuntime OpenShiftRuntimeContext java eclipse workspace server WorkspaceRuntimes startAsync WorkspaceRuntimes java common frames omitted Caused fabric8 kubernetes client KubernetesClientException Unexpected response Forbidden authorization request Missing header Location fabric8 openshift client internal OpenShiftOAuthInterceptor authorize OpenShiftOAuthInterceptor java fabric8 openshift client internal OpenShiftOAuthInterceptor intercept OpenShiftOAuthInterceptor java okhttp3 internal http RealInterceptorChain proceed RealInterceptorChain java okhttp3 internal http RealInterceptorChain proceed RealInterceptorChain java okhttp3 RealCall getResponseWithInterceptorChain RealCall java okhttp3 RealCall execute RealCall java fabric8 kubernetes client base OperationSupport handleResponse OperationSupport java fabric8 kubernetes client base OperationSupport handleResponse OperationSupport java fabric8 kubernetes client base OperationSupport handleResponse OperationSupport java fabric8 kubernetes client base BaseOperation getRootPaths BaseOperation java fabric8 kubernetes client BaseClient rootPaths BaseClient java fabric8 openshift client OpenshiftAdapterSupport isOpenShift OpenshiftAdapterSupport java fabric8 openshift client OpenshiftAdapterSupport isOpenShiftAPIGroups OpenshiftAdapterSupport java fabric8 openshift client OpenShiftConfig isOpenShiftAPIGroups OpenShiftConfig java fabric8 openshift client internal OpenShiftOperation withApiGroup OpenShiftOperation java fabric8 openshift client internal OpenShiftOperation withApiGroup OpenShiftOperation java fabric8 openshift client internal ProjectOperationsImpl init ProjectOperationsImpl java fabric8 openshift client internal ProjectOperationsImpl init ProjectOperationsImpl java fabric8 openshift client DefaultOpenShiftClient projects DefaultOpenShiftClient java eclipse workspace infrastructure openshift project OpenShiftProject OpenShiftProject java common frames omitted 
kind/bug,Incorrect author information on Git History Description information displayed author commit incorrect history seems show committers should really show author commit version minishift 
kind/bug,Tomcat IDE start fails for Che in Che Description When using workspace minishift Tomcat8 Start command fails deploy with following message 2017 startStop ERROR startup HostConfig 1518 Unable create directory deployment home user tomcat8 conf Catalina localhost Reproduction Steps Invoke command version minishift Diagnostics also ERROR apache juli logging logback core rolling RollingFileAppender file openFile home user tomcat8 logs logs catalina true call failed java FileNotFoundException home user tomcat8 logs logs catalina such file directory java FileNotFoundException home user tomcat8 logs logs catalina such file directory java FileOutputStream open0 Native Method java FileOutputStream open FileOutputStream java java FileOutputStream init FileOutputStream java apache juli logging logback core recovery ResilientFileOutputStream init ResilientFileOutputStream java apache juli logging logback core FileAppender openFile FileAppender java 
kind/bug,Workspace can not be started on minishift Description Workspace creation failed with following 2017 aceSharedPool WARN OpenShiftInternalRuntime Failed start OpenShift runtime workspace workspacerossm6fybuht9nvm Cause Failure executing POST https kubernetes default namespaces workspacerossm6fybuht9nvm pods Message pods workspacerossm6fybuht9nvm dockerimage already exists Received status Status apiVersion code details StatusDetails causes group null kind pods name workspacerossm6fybuht9nvm dockerimage retryAfterSeconds null null additionalProperties kind Status message pods workspacerossm6fybuht9nvm dockerimage already exists metadata ListMeta resourceVersion null selfLink null additionalProperties reason AlreadyExists status Failure additionalProperties Reproduction Steps create workspace have used shutdown minishift start minishift start your earlier created workspace version This with minishift 
kind/bug,Workspace Runtime returns servers non declared in the Workspace Config Reproduced version SNAPSHOT Docker infra Workspace created with following config defaultEnv default environments default machines typescript machine servers attributes internal true type config eclipse plugin typescript documentFilters languageId typescript pathRegex port 4417 protocol volumes projects path projects recipe type dockerimage content eivantsov tsls projects name commands links Retrieves following Workspace Runtime fragment typescript machine attributes servers 5000 typescript machine 5000 attributes exec agent codenvy 45133 connect attributes 3000 typescript machine 3000 attributes 1337 typescript machine 1337 attributes 8003 typescript machine 8003 attributes exec agent http http codenvy 45133 process attributes status RUNNING 4200 typescript machine 4200 attributes typescript machine attributes 4403 typescript machine 4403 attributes 9000 typescript machine 9000 attributes terminal codenvy 45134 attributes status RUNNING those servers unexpected since configured terminal exec exist 
kind/bug,Fix a sample assembly with custom plugins https github samples server extension When gets deployed error occurs 2017 startStop ERROR localhost 4653 Error configuring application listener class eclipse inject CheBootstrapjava lang ClassNotFoundException eclipse inject CheBootstrap apache catalina loader WebappClassLoaderBase loadClass WebappClassLoaderBase java 1285 apache catalina loader WebappClassLoaderBase loadClass WebappClassLoaderBase java 1119 apache catalina core DefaultInstanceManager loadClass DefaultInstanceManager java apache catalina core DefaultInstanceManager loadClassMaybePrivileged DefaultInstanceManager java apache catalina core DefaultInstanceManager newInstance DefaultInstanceManager java apache catalina core StandardContext listenerStart StandardContext java 4649 apache catalina core StandardContext startInternal StandardContext java 5189 apache catalina util LifecycleBase start LifecycleBase java apache catalina core ContainerBase addChildInternal ContainerBase java apache catalina core ContainerBase addChild ContainerBase java apache catalina core StandardHost addChild StandardHost java apache catalina startup HostConfig deployWAR HostConfig java apache catalina startup HostConfig DeployWar HostConfig java 1823 java util concurrent Executors RunnableAdapter call Executors java java util concurrent FutureTask FutureTask java java util concurrent ThreadPoolExecutor runWorker ThreadPoolExecutor java 1149 java util concurrent ThreadPoolExecutor Worker ThreadPoolExecutor java 
kind/question,No instructions to deploy Che6 to minishift There working instructions that deploying Che6 OpenShift current scripts deploying minishift does work Also think minishift works gazarenkov minishift deployment through release criteria 
kind/task,CHE6 OCP Investigate the failing of AutocompleteProposalJavaDocTest Description selenium test AutocompleteProposalJavaDocTest fail when che6 platform Need find reason Related selenium test AutocompleteProposalJavaDocTest 
kind/task,CHE6 OCP Investigate reason of failing tests to regenerate and upload SSH key on GitHub when running on CI job Description There some tests where performing generate upload GitHub form When tests slave builder platform they fail this case Need find reason attachment version slave builder install Additional information Related selenium test ImportProjectIntoSpecifiedBranchTest ImportRecursiveSubmoduleTest PullRequestPluginTest PullRequestPluginWithForkTest KeepDirectoryGitImportTest 
kind/bug,Machine is absent in workspace runtime after receiving an event that machine become starting Description Client subscribes machine statusChanged events listens changing states machines After machine status been changed RUNNING client must send internal MachineStartingEvent before sending event updates workspace sending request workspace turns workspace runtime doesn contain machine which status changed STARTING appears runtime after seconds This leads internal MachineStartingEvent sent does react changing machine state 
